segment_id,UK_2021_Viacheslav_Stelmakh_Kolhosp_tvaryn,UK_1991_Oleksii_Drozdovskyi_Skotoferma,UK_1992_Natalia_Okolitenko_Skotokhutir,UK_1991_Yurii_Shevchuk_Ferma_rai_dlia_tvaryn,UK_1984_Iryna_Dybko_Khutir_tvaryn,UK_2020_Bohdana_Nosenok_Kolhosp_tvaryn,EN_1945_George_Orwell_Animal_Farm,UK_1947_Ivan_Cherniatynskyi_Kolhosp_tvaryn,lapa_translations_combine
827,"Інші тварини, що сиділи навколо, підхопили пісню, й вони всі разом проспівали її тричі поспіль — дуже мелодійно, але повільно й тужно — так, як ніколи не співали раніше.","Решта тварин, що розташувалися довкола неї, підхопили пісню й проспівали її раз, другий підряд — дуже злагоджено, але тихо і сумно, як ніколи не співали раніше.","інші підхопили гімн і проспівали його три рази — тихо та сумно, як ніколи раніше.","Всі довкола підхопили гімн і проспівали його тричі від початку до кінця. Вкрай мелодійно, але повільно й скорботно, як ще ніколи досі не співали.","усі біля Коневої почали нишким в унісон і собі співати з нею. Тричі проспівали, але ще ніколи та пісня не звучала так жалібно, як тепер, бо мелодію пронизав безпорадний смуток.","Інші підхопили. Вони заспівали пісню тричі — в один голос, але повільно й сумно, — як ніколи не співали раніше.","The other animals sitting round her took it up, and they sang it three times over — very tunefully, but slowly and mournfully, in a way they had never sung it before.","Решта тварин, що сиділи довкола неї, приєднались до співу і усі проспівали пісню тричі — дуже мелодійно та поволі й тужливо, так якось, як ніколи досі ще її не співали.","Інші тварини, що сиділи навколо неї, підхопили її, і вони заспівали її тричі — дуже мелодійно, але повільно та сумно, так, як вони ніколи раніше не співали."
828,"Вони саме доспівали пісню втретє, коли до них у супроводі двох псів підійшов Вискун. Відчувалося, що він має сказати щось важливе.","Вони саме доспівували її втретє, як у супроводі двох псів з’явився Крикунець і дав зрозуміти, що має повідомити щось надзвичайно важливе.","Не встигли завершити пісню, як у супроводі двох псів з’явився Верескун і жестом дав зрозуміти, що хоче повідомити щось важливе.","Щойно вони закінчили співати втретє, як із двома псами нагодився Пищик, Його вигляд свідчив, що він має повідомити щось вкрай важливе.","Та враз, як тільки покінчили співати, нізвідки взявся Нікітов із двома псами.","Скінчивши співати, тварини побачили, що до них наближається Пискун у супроводі трьох собак. Судячи з його вигляду, новини він ніс важливі.","They had just finished singing it for the third time when Squealer, attended by two dogs, approached them with the air of having something important to say.","Вони якраз скінчили співати втретє, коли до них підійшов Квікун у супроводі двох собак. На обличчі в нього був такий вираз, ніби він мав їм щось важливе сказати.","Вони щойно закінчили співати її втретє, коли Сквілер, у супроводі двох собак, підійшов до них з виглядом того, що має сказати щось важливе."
829,"Він оголосив, що спеціальним наказом товариша Наполеона пісня «Звірі Англії» припиняє бути гімном Колгоспу.","Всі враз замовкли, й він оголосив, що згідно спеціальної постанови товариша Наполеона пісня „До бидла Англії“ скасовується.","Він оголосив, що згідно з розпорядженням товариша Наполеона гімн відміняється —","Він оголосив, що спеціальним указом товариша Наполеона гімн «Тварини Англії» скасовується.","Він проголосив, що згідно з окремою постановою вождя, товариша Вісарйонова, пісню «Тварини всіх держав» забороняється співати.","Пискун урочисто повідомив, що згідно зі спеціальним наказом товариша Наполеона, пісню «Тварини Англії» скасовано.","He announced that, by a special decree of Comrade Napoleon, Beasts of England had been abolished.","Він повідомив, що окремим розпорядженням товариша Наполеона «Звірів Англії» скасовано.","Він оголосив, що, згідно з особливим указом товариша Наполеона, пісня «Тварини Англії» була скасована."
830,Відтепер співати її стає заборонено.,Відтепер виконання її суворо заборонено.,виконувати його віднині заборонено.,Відтепер співати його заборонено.,---,Відтепер співати її заборонено.,From now onwards it was forbidden to sing it.,Відтепер заборонено їх співати.,Відтепер співати її було заборонено.
831,Тварини були приголомшені.,Тварини не тямили себе від подиву.,Мешканці ферми були ошелешені.,Тварин це приголомшило.,На цю вістку тварини зжахнулись.,Тварини були приголомшені.,The animals were taken aback.,Тварин вразила ця несподівана вістка.,Тварини були вражені.
832,— Чому?! — скрикнула Мюріель.,— Чому? — вигукнула Муріелла.,— Чому? — вихопилося у Мюріель.,— Але чому? — згукнула Мюріел.,— Чому? — домагалась Мурка.,— Але чому? — вигукнула Мюріель.,“Why?” cried Muriel.,«Чому?» — Вигукнула Дереза.,“Чому?” – вигукнула Мюріель.
833,"— У цьому більше немає потреби, товаришко, — твердо промовив Вискун.","— Тому що в ній уже відпала потреба, товариші, — коротко відказав Крикунець. —","— Бо в цьому більше немає потреби, товариші, — твердо мовив Верескун.","— У гімні відпала потреба, товаришко, — холодно кинув Пищик.","— Це пісня, товаришко, вже неактуальна й непотрібна,","— У ній більше немає потреби, товариші, — манірно відповів Пискун.","“It’s no longer needed, comrade,” said Squealer stiffly.","«Пісня більше непотрібна, товаришко,» — твердо відказав Квікун.","""Це більше не потрібно, товаришу,"" – сказав Сквілер жорстко."
834,— «Звірі Англії» були піснею Повстання. Та Повстання завершилося.,„До бидла Англії“ — це була пісня часів Великого Бунту. Та Великий Бунт успішно завершено.,"— Це була пісня часів Повстання. Але Повстання успішно здійснене,","— «Тварини Англії» була піснею Повстання, а Повстання успішно завершено.","вона закликає до революції, а ми вже революцію осягнули.",— «Тварини Англії» — пісня Повстання. А Повстання вже завершено.,“Beasts of England was the song of the Rebellion. But the Rebellion is now completed.,«Звірі Англії» були пісня Бунту. А Бунт уже доконаний.,Звірі Англії була пісня Повстання. Але Повстання тепер завершено.
835,"Страта зрадників, що відбулася сьогодні, стала його заключною частиною.",Останнім його актом було сьогоднішнє покарання зрадників.,сьогодні відбувся останній його акт.,Страта зрадників сьогодні пополудні — останній його акт.,"Караючи злочинців карою смерти, ми сьогодні покінчили революцію.",Страта зрадників була його останнім етапом.,The execution of the traitors this afternoon was the final act.,Екзекуція зрадників сьогодні під вечір була кінцевим актом бунту.,Виконання зрадників цього після обіду було останнім актом.
836,"Усіх ворогів — як зовнішніх, так і тих, що ховалися серед нас, — подолано.","Наші вороги зазнали нищівної поразки, як зовнішні, так і внутрішні.",Вороги внутрішні й зовнішні стерті на порох.,"Розбиті як зовнішні, так і внутрішні вороги.","Значить, ми ворогів назовні й усередині хутора перемогли.","І тепер, коли переможений не тільки ворог зовнішній, а й ворог внутрішній, ця пісня втратила сенс.",The enemy both external and internal has been defeated.,"Ворог, зовнішній і внутрішній, розбитий.","Ворога, як зовнішнього, так і внутрішнього, було переможено."
837,У пісні «Звірі Англії» ми висловлювали своє прагнення побудувати краще суспільство в майбутньому.,В гімні „До бидла Англії“ ми висловлювали своє прагнення до кращого суспільного ладу в майбутньому.,"У «Тваринах Англії» ми втілювали прагнення до кращого суспільства,",У «Тваринах Англії» ми виражали прагнення кращого суспільства.,"В пісні цій ми висказуємо тугу за кращим життям і соціяльною справедливістю, за умовами справжнього щастя й добра,",Ми висловлювали в ній наші прагнення до кращого суспільства.,In Beasts of England we expressed our longing for a better society in days to come.,У «Звірях Англії» ми висловлювали нашу тугу за більш досконалим суспільством майбутнього.,У «Звірях Англії» ми висловили наше прагнення до кращого суспільства в майбутньому.
838,Проте тепер ми маємо таке суспільство.,Але нині такий лад уже збудовано.,а тепер ми вже побудували його.,Але таке суспільство вже побудовано.,"а чейже ми ці умовини в нашому житті вже маємо; під проводом нашого вождя Вісарйонова ми живемо наче в раю, де справедливість і рівноправність процвітають,",Це суспільство створено.,But that society has now been established.,Таке суспільство зараз вже існує.,Але таке суспільство вже створено.
839,Тож пісня нам більше не потрібна.,Отже нині ця пісня не має ніякого сенсу.,"Отже, пісня застаріла.","Тож і не дивно, що цей гімн втратив усякий сенс.",тому співати цю пісню немає причини!,[ця пісня втратила сенс.],Clearly this song has no longer any purpose.”,"Отже ясно, що ця пісня не має більше сенсу.»","Очевидно, що ця пісня більше не має жодного сенсу."
840,"Хоч тварини й були перелякані, вони, можливо, й спробували б заперечувати, але цієї миті вівці почали мекати своє звичне гасло «Чотири ноги — добре, дві ноги — погано». Вони галасували кілька хвилин без угаву — і це поклало край усім подальшим обговоренням.","Незважаючи на страх, який їх охопив, деякі тварини готові були сперечатися, та саме в цю мить овечки затягли аж на кілька хвилин своє звичне „Чотири ноги — то добре, дві ноги — то кепсько“, і коли вони скінчили, говорити вже нікому не хотілося.","Хоч і нажахана, худоба пробувала протестувати, але овечки замекали «Чотири ноги — добре, дві ноги — погано», й на тому все кінчилося.","Попри неабиякий переляк, деякі тварини, певно, й запротестували б, та вівці якраз замекали своє «Чотири ноги добре, а дві — погано»; це тривало кілька хвилин і унеможливило дискусію.","Ох, як хотілось тваринам заперечити все те, що Нікітов сказав! Але недавно пережиті події жорстокої кари пригадались і переляк не дозволив на дискусію; при тому й вівці завели своє «чотириноге добре, двоноге зле-е-е», і тим покінчились будь-які вигляди на заперечення.","Якими переляканими не були тварини, деякі з них, можливо, висловили б протест, але вівці дружно забекали своє «Чотири ноги — добре, дві ноги — погано», й кричали гасло кілька хвилин поспіль, чим і запобігли марній дискусії.","Frightened though they were, some of the animals might possibly have protested, but at this moment the sheep set up their usual bleating of “Four legs good, two legs bad,” which went on for several minutes and put an end to the discussion.","Хоч тварини були залякані, проте дехто може б і протестував, але в цей мент вівці почали своє звичайне блеяння «Чотири ноги — добре, дві ноги — погано» — що продовжувалось кілька хвилин і поклало кінець усякій дискусії.","Хоч як вони боялися, деякі тварини, можливо, спробували б заперечити, але в цей момент вівці почали своє звичне бекання ""Чотири ноги добре, дві ноги погано"", яке тривало кілька хвилин і поклало край дискусії."
841,Тож «Звірів Англії» більше ніхто не співав.,З того вечора співання „До бидла Англії“ повсюдно припинилося.,Отож гімн «Тварини Англії» відійшов у минуле.,Отож «Тварин Англії» більше не чулося.,"Таким чином, пісню «Тварини всіх країн» ніколи вже не було чути.",Більше цієї пісні не чули на фермі.,So Beasts of England was heard no more.,Таким робом «Звірів Англії» не чути було більше.,Тож пісні «Звірі Англії» більше не чули.
842,"Замість цієї пісні Мінімус, той самий, який був поетом, склав іншу, що починалася із таких слів:","Натомість поет Коротун склав іншу пісню, яка починалася такими словами:","Замість нього поет Мінімус написав іншу пісню, яка починалася словами:","Натомість поет Мінімус склав іншу пісню, яка починалася словами:",Її замінила пісня,"А замість неї поет Менший склав іншу пісню, яка починалася так:","In its place Minimus, the poet, had composed another song which began:","Натомість поет Мінім склав іншу пісню, що починалась словами:","На його місці Мінімус, поет, склав іншу пісню, яка починалася так:"
843,"«Колгосп тварин, Колгосп тварин, Я твій сумлінний, вірний син!».","Створена ти волею тварин, Скотофермо, твій я вірний син!","Скотохутір, Скотохутір, всюди радості розмай, Скотохутір, Скотохутір, спів наш весело лунай!",«Рай для Тварин»! «Рай для Тварин» — Ніколи від мене не знатимеш кпин!,"«О, Хуторе, о, Хуторе тварин, більш лиха не зазнаєш із моїх причин»;","Колгосп тварин, Колгосп тварин, Я ніколи тебе не зраджу!..","Animal Farm, Animal Farm, Never through me shalt thou come to harm!","Хутір тварин, хутір тварин, Повік останусь твій вірний син.","Ферма тварин, Ферма тварин, Ніколи через мене ти не зазнаєш шкоди!"
844,Саме її тепер співали щонеділі після підняття прапора.,І саме її відтепер годилося співати щонеділі уранці при піднятті прапора.,"Тепер саме вона звучала, коли піднімали прапор.",її співали щонеділі вранці після підняття прапора.,"автором тієї пісні був молодий кабан-поет, Мінімов. Її співали кожної неділі під час піднесення прапора.",Цю пісню співали щонеділі вранці після підняття прапора.,and this was sung every Sunday morning after the hoisting of the flag.,Співали її кожної неділі вранці після піднесення прапора.,І це співали кожної неділі вранці після підняття прапора.
845,"Однак на думку тварин, ані слова нової пісні, ані її мелодія і близько не могли зрівнятися зі «Звірями Англії».","Та ні слова цієї пісні, ні її мелодія не могли заступити в душах тварин любого їм гімну „До бидла Англії“.",Але цей твір був зовсім не схожий на «Тварин Англії».,"Проте, на думку тварин, вона не йшла ні в яке порівняння із «Тваринами Англії» як словами, так і мелодією.","Але мелодія і слова тієї пісні не знайшли в серцях тварин того відчуття, яким визначались «Тварини всіх країн».","Тільки ні її мотив, ні слова чомусь не стали для мешканців ферми тим, чим була раніше пісня «Тварини Англії».",But somehow neither the words nor the tune ever seemed to the animals to come up to Beasts of England.,"Одначе тварини якось відчували, що ні слова ні мелодія не дорівнюють «Звірям Англії».","Але якось ні слова, ні мелодія ніколи не здавалися тваринам такими ж хорошими, як у пісні «Тварини Англії»."
846,РОЗДІЛ 8,8,Розділ VIII,Розділ VIII,VIII,8,Chapter VIII,РОЗДІЛ ВОСЬМИЙ.,Розділ VIII
847,"За кілька днів по тому, коли жах, спричинений розправами, встиг трохи притупитися, дехто з тварин згадав — чи принаймні подумав, що згадав — шосту Заповідь, у якій проголошувалося: «Жодна тварина не повинна вбивати будь-яку іншу тварину».","Через кілька днів, коли трохи вщух страх, викликаний жорстокою розправою, декому із тварин пригадалося — чи то здалося, що пригадалося, — що у Шостій Заповіді було записано: „Хай жодна тварина не вб’є іншої тварини“.","За кілька днів, коли трохи розвіявся страх, який нагнала жорстока розправа, дехто згадав про Шосту Заповідь: «Тварина не може вбити іншу тварину».","Через кілька днів, коли жах, викликаний стратами, трохи влігся, дехто пригадав, чи, як йому здалося, що пригадав, ніби Шоста заповідь проголошувала: «Жодна тварина не повинна вбивати іншу тварину».","Як уже пройшло декілька днів після страшної екзекуції, яскраве враження страху приблідло; коли свиней та псів біля тварин не було, вони почали шепотіти про шосту заповідь тваринізму.","А кількома днями пізніше, коли тварини дещо оговталися від розпачу, який огорнув їх після недавніх страт, хтось із них пригадав, що в Шостому Положенні зазначалося: «Жодна тварина ніколи не вб’є іншу тварину».","A few days later, when the terror caused by the executions had died down, some of the animals remembered — or thought they remembered — that the Sixth Commandment decreed “No animal shall kill any other animal.”","ЗА КІЛЬКА днів, коли ущух жах, викликаний екзекуціями, дехто із тварин пригадав собі або думав, що собі пригадує, що Шоста Заповідь заповідала: «Хай жодна тварина не вбиває іншої тварини.»","Через кілька днів, коли жах, спричинений стратами, вщух, деякі тварини згадали — або подумали, що згадали — що Шоста Заповідь проголошувала: «Жодна тварина не повинна вбивати іншу тварину»."
848,"І хоча ніхто з них не наважувався казати цього при свинях чи псах, тварини відчували, що нещодавні вбивства порушували цю постанову.","І хоча жодна душа не наважилася навіть згадати про неї у присутності свиноти та собачні, тварини відчували, що ці вбивства явно їй суперечили.","І хоча ніхто не ризикнув вести про неї мову в присутності собак, все ж таки дух цієї заповіді не давав спокою мешканцям ферми.","І хоч ніхто не виявляв бажання згадувати про неї при свинях чи собаках, не зникало відчуття, що скоєні вбивства суперечили їй.",---,"І хоч у присутності свиней і собак нікому не хотілося згадувати про це, однак усі прагнули ясності в цьому питанні.","And though no one cared to mention it in the hearing of the pigs or the dogs, it was felt that the killings which had taken place did not square with this.","І хоч усі старались не згадувати цього в присутності свиней чи собак, усі відчували, що недавні вбивства протирічать цій Заповіді.","І хоча ніхто не наважувався згадати про це в присутності свиней чи собак, всі відчували, що вбивства, які відбулися, не відповідають цьому."
849,"Конюшинка попросила Бенджаміна прочитати їй шосту Заповідь; а коли той, як зазвичай, сказав, що не бажає втручатися у такі справи, вона притягла до стіни Мюріель, щоб та прочитала їй Заповідь.","Конюшина попросила Бенджаміна прочитати їй Шосту Заповідь, а коли той за звичкою відмовився, буркнувши, що не хоче лізти у такі справи, Конюшина звернулася до кози Муріелли.","Кловер попросила Бенджаміна прочитати, що там написано на стіні про вбивство, однак віслюк, як завжди, заявив, що не хоче встрявати в це діло, і Кловер довелося звернутися до Мюріель.","Конюшинка попрохала Бенджаміна прочитати їй Шосту заповідь, і коли той своїм звичаєм відказав, що бажає не встрявати в такі справи, вона привела Мюріел.","Конева, потайки, попросила Молчазнікова, щоб пішов з нею, як ніхто не бачитиме, і прочитав їй шосту заповідь; але він, як звичайно, відмовився, виправдуючись, начебто він не зацікавлений будь-якими подіями на хуторі. Після покарання тих, що провинились, Молчазніков ще дужче уникав усіх, а його непривітність перейшла всі межі. Тоді Конева звернулась із своїм проханням до Мурки, яка зразу погодилась. Коли прибули до стіни, де були написані заповіді, довго вдивлялися з недовір’ям, бо й ця заповідь, як і раніше четверта, була іншого змісту, як колись.","Люцерна попросила Бенджаміна прочитати їй Шосте Положення. Той, як і зазвичай, відмовився, завваживши, що не бажає вплутуватися в такі справи. Тоді Люцерна знову звернулася до Мюріель, і та прочитала:","Clover asked Benjamin to read her the Sixth Commandment, and when Benjamin, as usual, said that he refused to meddle in such matters, she fetched Muriel.","Конюшина попрохала Беніяміна прочитаати їй Шосту Заповідь, а коли Беніямін, як звичайно, не схотів мішатися у такі справи, вона привела Дерезу.","Кловер попросила Бенджаміна прочитати їй Шосту Заповідь, і коли Бенджамін, як завжди, сказав, що відмовляється втручатися в такі справи, вона покликала Мюріел."
850,У ній проголошувалося: «Жодна тварина не повинна вбивати будь-яку іншу тварину БЕЗ ПРИЧИНИ».,"Та прочитала їй заповідь, в якій значилося: „Хай жодна тварина не вб’є іншої тварини безпідставно“.",Та прочитала: «Тварина не може вбити іншу тварину без причини».,Мюріел прочитала їй ту заповідь. А в ній мовилося: «Жодна тварина не повинна вбивати іншу тварину без причини».,"Ось якраз перечитала Мурка, що «Тварина не має права ні в якому разі вбити тварину без причини».",«Жодна тварина ніколи не вб’є іншу тварину без причини».,Muriel read the Commandment for her. It ran: “No animal shall kill any other animal without cause.”,Дереза прочитала їй Заповідь. Вона звучала: «Хай жодна тварина не вбиває іншої тварини без причини».,Мюріел прочитала їй Заповідь. У ній було написано: «Жодна тварина не повинна вбивати іншу тварину без причини».
851,Останні два слова чомусь стерлися з пам’яті тварин.,"Якимось чином останнє слово геть випало із пам’яті всіх тварин,","Чомусь останні два слова вискочили з голови тих, хто пригадував Заповідь.",Чомусь останні два слова якось випали усім з пам'яті.,"Чомусь ці два останні слова Мурка не пригадує, чи, може, просто переочила їх того дня, коли Давидович писав заповіді??",Два останніх слова чомусь не збереглися в пам’яті мешканців ферми.,"Somehow or other, the last two words had slipped out of the animals’ memory.",Останні два слова якось вискочили тваринам із пам'яти.,"Якось чи інакше, останні два слова вислизнули з пам'яті тварин."
852,"Однак тепер вони бачили, що Заповідь не було порушено — адже причини на те, щоб убити зрадників, які перейшли на бік Сніжка, були очевидні.","хоча ніхто не міг сказати, що заповідь порушено: злигавшись із дворушником та ренегатом Сніжком, інші зрадники самі подбали про те, щоб для їхньої страти підстав було аж задосить.","Але тепер вони переконалися, що все правильно: адже підручні Сноубола були зрадниками, і їх належало знищити.","Тепер вони впевнилися, що заповіді не порушено, бо, звісно ж, було через що знищувати зрадників, які увійшли в змову із Сніжком.","Конева кожне слово за Муркою повторила, а тоді, по хвилині, сказала: значить, порушення шостої заповіді не було, коли покарали смертю тих, що провинились. Мурка й Конева похитавши головою — відійшли.","Зате тепер вони побачили, що заповідь не порушена, бо зрада тих, хто об’єднався зі Сніжком, стала, поза сумнівом, достатньою причиною, щоб їх убити.",But they saw now that the Commandment had not been violated; for clearly there was good reason for killing the traitors who had leagued themselves with Snowball.,"Та тепер вони побачили, що Заповіді не порушено, бо ясно була причина вбити зрадників, що увійшли в згоду з Біланом.","Але тепер вони зрозуміли, що Заповідь не була порушена; адже було цілком зрозуміло, що є вагомі причини для вбивства зрадників, які об'єдналися зі Сніжком."
853,"Увесь той рік тварини працювали іще тяжче, аніж у минулі роки.","Того року працювати довелось ще тяжче, ніж навіть минулого.",Цього року довелося працювати ще важче.,"Увесь той рік тварини трудилися навіть ревніше, ніж доти.","У цьому році тварини працювали кожного дня важче, як у минулому.","Цього року тварини гарували більше, ніж торік.",Throughout the year the animals worked even harder than they had worked in the previous year.,У цьому році тварини працювали ще важче як у минулому.,"Протягом року тварини працювали навіть наполегливіше, ніж у попередньому році."
854,Відбудова вітряка з удвічі товщими стінами до визначеного часу водночас із виконанням звичайної господарської роботи була каторжною працею.,"Відбудова вітряка, стіни якого стали вдвічі товщі, вкладаючись при цьому у попередні строки і не полишаючи повсякденної роботи на фермі, вимагала пекельних зусиль.","Спорудити млин, стіни якого стали вдвічі товщі, запустити його у визначений строк, не кидаючи й на день постійної роботи на полях, було їм над силу.","Перебудувати вітряк з удвічі товщими стінами й пустити його в призначений день, та ще й порати інші щоденні справи на фермі — те вимагало велетенської праці.","Відбудова вітряка із тричі грубшими стінами, праця в колгоспі, виконування норм — все це вимагало небувалих зусиль.","Перебудувати млин, подвоївши товщину його стін, та ще й до певного терміну, було важким завданням, також ніхто не скасовував їхньої звичайної роботи.","To rebuild the windmill, with walls twice as thick as before, and to finish it by the appointed date, together with the regular work of the farm, was a tremendous labour.","Відбудова вітряка зі стінами, удвоє грубшими як раніш, та закінчення його у визначений термін, поруч із звичайною працею в Колгоспі, вимагали велетенського зусилля.","Щоб відбудувати вітряк, зі стінами вдвічі товстішими, ніж раніше, і завершити його до призначеного терміну, разом із регулярною роботою на фермі, це була величезна праця."
855,"Часом тваринам починало здаватися, що вони працюють довше, а харчуються нічим не ліпше, аніж за Джонса.","Були моменти, коли тваринам починало здаватися, що вони і працюють довше, і харчуються гірше, ніж за часів пана Джоунса.","Траплялися години, коли тваринам починало здаватися, що вони і трудяться важче, і їдять гірше, аніж за Джонса.","Іноді тваринам здавалося, що вони і працюють довше, і харчуються не краще, аніж за Джонса.","Інколи тваринам здавалось, що тяжче й куди більше годин у день працювали, як за часів Романова, та ще до того всього при менших приділах харчів.","Тварин іноді непокоїла думка, що тепер у них робочий день триває довше, а їжі вони отримують менше, ніж було за Джонса.",There were times when it seemed to the animals that they worked longer hours and fed no better than they had done in Jones’s day.,"Нераз тваринам здавалось, що їхній трудодень довший, а харчування гірше як за Джонса.","Були часи, коли тваринам здавалося, що вони працюють довше і харчуються не краще, ніж за часів Джонса."
856,"Щонеділі вранці Вискун, затискаючи в ратиці смужку паперу, зачитував їм довгі ряди цифр на підтвердження того, що запаси різних видів продовольства збільшилися на двісті відсотків, триста відсотків, а часом і на п’ятсот.","Та одного недільного ранку перед ними з’явився Крикунець, тримаючи у ратиці паперовий згорток, і зачитав їм, що виробництво продукції всіх видів зросло за цей час на двісті, триста і навіть п’ятсот процентів у порівнянні з дореволюційним минулим.","Але одного недільного ранку перед ними з’явився Верескун, затискаючи в ратиці папірець, і зачитав їм, що виробництво продукції всіх видів за цей час зросло на 200, 300 і навіть 500 відсотків порівняно з попередніми роками.","Недільними ранками Пищик з довгої смужки паперу в ратиці зачитував їм цифри, доводячи, що виробництво продукції в кожному конкретному випадку збільшилося на 200, 300, а то й 500 відсотків.","Зате Нікітов кожної неділі, після проголошення нових наказів на наступний тиждень, показував листок із підрахованими доказами, що виробництво на хуторі збільшилось на двісті, а то й триста відсотків.","У неділю Пискун, притримуючи ратицею довгий аркуш паперу, сипав цифрами, які вказували на те, що виробництво всіх видів продукції збільшилося на 200, 300, або й 500 відсотків.","On Sunday mornings Squealer, holding down a long strip of paper with his trotter, would read out to them lists of figures proving that the production of every class of foodstuff had increased by two hundred per cent, three hundred per cent, or five hundred per cent, as the case might be.","Кожної неділі вранці Квікун, тримаючи ратицею довгий клапоть паперу, відчитував їм ряди чисел, що доказували, як продукція в харчовій промисловості зросла на двісті відсотків чи на триста відсотків, чи нарешті на п'ятьсот відсотків, залежно від продукту харчування.","У недільні ранки Сквілер, тримаючи в лапі довгий аркуш паперу, читав їм списки цифр, які доводили, що виробництво кожного виду продуктів харчування збільшилося на двісті відсотків, триста відсотків або п'ятсот відсотків, залежно від ситуації."
857,"Тварини не бачили жодної причини не довіряти йому — тим більше, що вони вже не надто добре пригадували, як їм жилося до Повстання.","У тварин не було жодної підстави не вірити йому, тим більше, що вони вже вельми невиразно пам’ятали, якими були умови життя на фермі до Великого Бунту.","У тварин не було підстав йому не вірити, тим більше вони вже надто невиразно пам’ятали, які, власне, були умови життя до Повстання.","Тварини не бачили причини не вірити йому, тим паче що неспроможні були виразно пригадати умови, що існували до Повстання.","Тварини й не думали заперечувати, тим паче, що не пам’ятали відсотків виробництва перед революцією.","Тварини не бачили причин не вірити цьому, тим паче, що вони вже не пам’ятали, як було до Повстання.","The animals saw no reason to disbelieve him, especially as they could no longer remember very clearly what conditions had been like before the Rebellion.","Тварини не бачили ніякої причини не довіряти йому, тим більше, що вже були неспроможні пригадати собі умовини перед Бунтом.","Тварини не бачили причин йому не вірити, особливо оскільки вони більше не могли дуже чітко згадати, якими були умови до Повстання."
